repository_owner,repository_name,file_path,file_url
Experto-AI,quickscale,.github/copilot-instructions.md,https://github.com/Experto-AI/quickscale/blob/main/.github/copilot-instructions.md
JanuaryLabs,sdk-it,.github/copilot-instructions.md,https://github.com/JanuaryLabs/sdk-it/blob/main/.github/copilot-instructions.md
Jij-Inc,ommx,.github/copilot-instructions.md,https://github.com/Jij-Inc/ommx/blob/main/.github/copilot-instructions.md
NoumenaDigital,npl-cli,.github/copilot-instructions.md,https://github.com/NoumenaDigital/npl-cli/blob/master/.github/copilot-instructions.md
dust-tt,dust,.github/copilot-instructions.md,https://github.com/dust-tt/dust/blob/main/.github/copilot-instructions.md
firezone,firezone,.github/copilot-instructions.md,https://github.com/firezone/firezone/blob/main/.github/copilot-instructions.md
github,docs,.github/copilot-instructions.md,https://github.com/github/docs/blob/main/.github/copilot-instructions.md
jdereg,json-io,.github/copilot-instructions.md,https://github.com/jdereg/json-io/blob/master/.github/copilot-instructions.md
ppn-systems,Nalix,.github/copilot-instructions.md,https://github.com/ppn-systems/Nalix/blob/main/.github/copilot-instructions.md
vicperdana,SemantiClip,.github/copilot-instructions.md,https://github.com/vicperdana/SemantiClip/blob/main/.github/copilot-instructions.md
