,Count,Count,Count,Percentage,Percentage,Percentage
source_dataset,agents,claude,copilot-instructions,agents,claude,copilot-instructions
Category,,,,,,
Architecture,56.0,94.0,76.0,10.55,11.2,10.87
Build & Run,49.0,101.0,59.0,9.23,12.04,8.44
Claude/AI Integration,18.0,29.0,33.0,3.39,3.46,4.72
Configuration & Environment,34.0,58.0,37.0,6.4,6.91,5.29
Debugging,16.0,33.0,35.0,3.01,3.93,5.01
Deployment and Operations,11.0,24.0,26.0,2.07,2.86,3.72
Development Process,67.0,78.0,71.0,12.62,9.3,10.16
Documentation,27.0,35.0,27.0,5.08,4.17,3.86
Implementation Details,65.0,85.0,85.0,12.24,10.13,12.16
Maintanability,40.0,67.0,41.0,7.53,7.99,5.87
Performance,9.0,18.0,21.0,1.69,2.15,3.0
Project Management,4.0,7.0,7.0,0.75,0.83,1.0
Security,14.0,22.0,13.0,2.64,2.62,1.86
System Overview,41.0,79.0,76.0,7.72,9.42,10.87
Test,74.0,102.0,76.0,13.94,12.16,10.87
UI/UX,6.0,7.0,16.0,1.13,0.83,2.29
